"","agegrp","DS","Serogroup","Serotype","carriage","disease","n.swab","N","time.int","carr.prev","carr.prev.low","carr.prev.high","lambda","lambda.low","lambda.high","invasiveness","invasiveness.low","invasiveness.high","vaccinationera"
"41","adults","Navajo.post.PCV7","NVT","35B",137,7,6541,201553,6,0.0209448455211727,0.017750676449422,0.0247089811440599,7,3.45,14.42,0.000300051149930577,0,0.000500085249884295,"post.PCV7"
"42","adults","Navajo.post.PCV7","NVT","35F",58,0,6541,201553,6,0.00886719501450264,0.0068723310524596,0.0114462113208084,0,0,3.68,0.000100017049976859,0,0.000300051149930577,"post.PCV7"
"43","adults","Navajo.post.PCV7","NVT","37",10,1,6541,201553,6,0.00152884436362149,0.000839645189169192,0.00280933778307119,1,0.24,5.57,0.000300051149930577,0,0.00370063084914378,"post.PCV7"
"44","adults","Navajo.post.PCV7","NVT","38",32,6,6541,201553,6,0.00489217967156268,0.00347478164614048,0.00689829778970173,6,2.81,13.06,0.00110018754974545,0.000400068199907436,0.00230039214946776,"post.PCV7"
"45","adults","Navajo.post.PCV7","VT7","4",5,0,6541,201553,6,0.000764368324997601,0.000336677414497283,0.00178264979970088,0,0,3.68,0.000300051149930577,0,0.00570097184868096,"post.PCV7"
"46","adults","Navajo.post.PCV7","VT10","5",2,0,6541,201553,6,0.000305787723632663,9.45929709122193e-05,0.00110394398816739,0,0,3.68,0.000300051149930577,0,0.0281047910434974,"post.PCV7"
"47","adults","Navajo.post.PCV7","VT7","6B",4,3,6541,201553,6,0.000611496794887341,0.000248177682347124,0.0015648027648063,3,1.09,8.77,0.00310052854928263,0.00100017049976859,0.0243041431443767,"post.PCV7"
"48","adults","Navajo.post.PCV7","NVT","7C",60,4,6541,201553,6,0.00917287398709479,0.00713964692500888,0.0117900119079837,4,1.62,10.24,0.000300051149930577,0,0.00110018754974545,"post.PCV7"
"49","adults","Navajo.post.PCV7","VT10","7F",13,69,6541,201553,6,0.00198750285295394,0.00117046270120245,0.00339571579033814,69,54.57,87.32,0.0263044841439139,0.0168028643961123,0.053909189937527,"post.PCV7"
"50","adults","Navajo.post.PCV7","NVT","8",11,34,6541,201553,6,0.00168168860700777,0.000948176311513436,0.00300658826907579,34,24.38,47.51,0.0157026768463669,0.00900153449791731,0.0353060186418312,"post.PCV7"
"51","adults","Navajo.post.PCV7","NVT","9N",9,4,6541,201553,6,0.00137596012518706,0.000733209315941789,0.00260990222971872,4,1.62,10.24,0.00230039214946776,0.000800136399814872,0.00890151744794045,"post.PCV7"
"52","adults","Navajo.post.PCV7","VT7","9V",7,8,6541,201553,6,0.00107019562052262,0.000528121247417684,0.0022034082988877,8,4.12,15.76,0.00590100594863468,0.00240040919944462,0.0191032565455801,"post.PCV7"
"53","adults","Portugal.pre.PCV","VT10","1",1,29,1170,8284894,2,0.00085472374851463,0.000206870027530422,0.0047487477961461,29,20.24,41.65,0.0018203103095773,0.000280047739934969,0.0746327226926692,"pre.PCV"
"54","adults","Portugal.pre.PCV","NVT","10A",19,7,1170,8284894,2,0.0162393070817907,0.0104629918218871,0.025222557250293,7,3.45,14.42,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"55","adults","Portugal.pre.PCV","NVT","10F",0,4,1170,8284894,2,0,0,0.00314518418782891,4,1.62,10.24,0.000300054429796291,0.00020003628653086,0.863456630810459,"pre.PCV"
"56","adults","Portugal.pre.PCV","NVT","11A",42,10,1170,8284894,2,0.0358973695053759,0.0267000385211311,0.0481742824540758,10,5.49,18.39,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"57","adults","Portugal.pre.PCV","NVT","12B",0,10,1170,8284894,2,0,0,0.00314518418782891,10,5.49,18.39,0.00190034472204317,0.000400072573061721,0.88466047718273,"pre.PCV"
"58","adults","Portugal.pre.PCV","NVT","13",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"59","adults","Portugal.pre.PCV","VT7","14",52,49,1170,8284894,2,0.0444444543650971,0.0340840489596112,0.0578280992962091,49,37.11,64.78,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"60","adults","Portugal.pre.PCV","NVT","15A",4,2,1170,8284894,2,0.00341880952382043,0.001387842069254,0.00872273383027867,2,0.62,7.22,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"61","adults","Portugal.pre.PCV","NVT","15B/C",33,1,1170,8284894,2,0.0282051488095606,0.020189667463234,0.0393505166973512,1,0.24,5.57,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"62","adults","Portugal.pre.PCV","NVT","16F",36,1,1170,8284894,2,0.0307692376373749,0.0223426841284195,0.0423088736284831,1,0.24,5.57,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"63","adults","Portugal.pre.PCV","NVT","17F",0,3,1170,8284894,2,0,0,0.00314518418782891,3,1.09,8.77,0.000300054429796291,0,0.876859062008027,"pre.PCV"
"64","adults","Portugal.pre.PCV","NVT","18A",12,4,1170,8284894,2,0.0102564125457916,0.00592396891184925,0.0178320556524803,4,1.62,10.24,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"65","adults","Portugal.pre.PCV","VT7","18C",13,12,1170,8284894,2,0.0111111111111111,0.0065512319367237,0.0189093393222329,12,6.92,20.96,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"66","adults","Portugal.pre.PCV","VT13","19A",45,14,1170,8284894,2,0.038461565934115,0.0289007521579365,0.0510848920471973,14,8.4,23.49,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"67","adults","Portugal.pre.PCV","VT7","19F",93,6,1170,8284894,2,0.0794872344323325,0.0653534523253041,0.0964123951503393,6,2.81,13.06,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"68","adults","Portugal.pre.PCV","NVT","20",0,9,1170,8284894,2,0,0,0.00314518418782891,9,4.8,17.08,0.00150027214898145,0.000400072573061721,0.87065793712557,"pre.PCV"
"69","adults","Portugal.pre.PCV","NVT","21",6,0,1170,8284894,2,0.00512821199634926,0.00240664578109824,0.0111187881699972,0,0,3.68,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"70","adults","Portugal.pre.PCV","NVT","22F",8,8,1170,8284894,2,0.0068375763125218,0.00352028406399932,0.0134167440439416,8,4.12,15.76,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"71","adults","Portugal.pre.PCV","NVT","23A",11,1,1170,8284894,2,0.00940171626985353,0.00530596109275714,0.0167455839321325,1,0.24,5.57,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"72","adults","Portugal.pre.PCV","NVT","23B",11,2,1170,8284894,2,0.00940171626985353,0.00530596109275714,0.0167455839321325,2,0.62,7.22,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
