study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
France.post.PCV7,23B,1212,838866,2,10,3
France.post.PCV7,23F,1212,838866,2,3,2
France.post.PCV7,24B,1212,838866,2,0,3
France.post.PCV7,24F,1212,838866,2,2,25
France.post.PCV7,25A,1212,838866,2,0,15
France.post.PCV7,28F,1212,838866,2,1,0
France.post.PCV7,29,1212,838866,2,3,0
France.post.PCV7,3,1212,838866,2,1,18
France.post.PCV7,31,1212,838866,2,0,2
France.post.PCV7,33F,1212,838866,2,3,5
France.post.PCV7,34,1212,838866,2,1,0
France.post.PCV7,35B,1212,838866,2,8,1
France.post.PCV7,35F,1212,838866,2,7,3
France.post.PCV7,4,1212,838866,2,2,0
France.post.PCV7,45,1212,838866,2,1,0
France.post.PCV7,46,1212,838866,2,0,1
France.post.PCV7,5,1212,838866,2,0,4
France.post.PCV7,6A,1212,838866,2,10,3
France.post.PCV7,6B,1212,838866,2,3,4
France.post.PCV7,6C,1212,838866,2,13,4
France.post.PCV7,7C,1212,838866,2,0,1
France.post.PCV7,7F,1212,838866,2,2,53
France.post.PCV7,8,1212,838866,2,1,1
France.post.PCV7,9A,1212,838866,2,0,1
France.post.PCV7,9L,1212,838866,2,0,1
France.post.PCV7,9N,1212,838866,2,1,1
France.post.PCV7,9V,1212,838866,2,0,2
Goroka.pre.PCV,1,2844,96207,6,1,1
Goroka.pre.PCV,13,2844,96207,6,45,1
Goroka.pre.PCV,14,2844,96207,6,118,7
Goroka.pre.PCV,2,2844,96207,6,2,1
Goroka.pre.PCV,20,2844,96207,6,12,0
Goroka.pre.PCV,21,2844,96207,6,45,0
Goroka.pre.PCV,29,2844,96207,6,22,0
Goroka.pre.PCV,3,2844,96207,6,23,0
Goroka.pre.PCV,31,2844,96207,6,14,1
Goroka.pre.PCV,34,2844,96207,6,44,1
Goroka.pre.PCV,36,2844,96207,6,1,0
Goroka.pre.PCV,38,2844,96207,6,21,0
Goroka.pre.PCV,39,2844,96207,6,4,0
Goroka.pre.PCV,4,2844,96207,6,27,0
Goroka.pre.PCV,42,2844,96207,6,14,0
Goroka.pre.PCV,43,2844,96207,6,1,0
Goroka.pre.PCV,45,2844,96207,6,7,0
Goroka.pre.PCV,46,2844,96207,6,0,3
Goroka.pre.PCV,47,2844,96207,6,1,0
Goroka.pre.PCV,5,2844,96207,6,5,2
Goroka.pre.PCV,8,2844,96207,6,9,0
Massachusetts.post.PCV7,1,2969,820000,3,0,1
Massachusetts.post.PCV7,10A,2969,820000,3,27,4
Massachusetts.post.PCV7,11A,2969,820000,3,63,3
Massachusetts.post.PCV7,12B,2969,820000,3,0,1
Massachusetts.post.PCV7,13,2969,820000,3,1,0
Massachusetts.post.PCV7,14,2969,820000,3,3,1
Massachusetts.post.PCV7,15A,2969,820000,3,36,3
Massachusetts.post.PCV7,15B/C,2969,820000,3,74,8
Massachusetts.post.PCV7,15F,2969,820000,3,4,0
Massachusetts.post.PCV7,16F,2969,820000,3,13,0
Massachusetts.post.PCV7,17F,2969,820000,3,8,1
Massachusetts.post.PCV7,18B,2969,820000,3,0,2
Massachusetts.post.PCV7,18C,2969,820000,3,2,4
Massachusetts.post.PCV7,18F,2969,820000,3,1,0
Massachusetts.post.PCV7,19A,2969,820000,3,113,80
Massachusetts.post.PCV7,19F,2969,820000,3,31,2
Massachusetts.post.PCV7,20,2969,820000,3,0,2
Massachusetts.post.PCV7,21,2969,820000,3,7,1
Massachusetts.post.PCV7,22F,2969,820000,3,26,14
Massachusetts.post.PCV7,23A,2969,820000,3,62,1
Massachusetts.post.PCV7,23B,2969,820000,3,43,6
Massachusetts.post.PCV7,23F,2969,820000,3,5,2
Massachusetts.post.PCV7,25A,2969,820000,3,3,0
Massachusetts.post.PCV7,3,2969,820000,3,11,8
Massachusetts.post.PCV7,31,2969,820000,3,7,0
Massachusetts.post.PCV7,33A,2969,820000,3,1,0
Massachusetts.post.PCV7,33F,2969,820000,3,6,11
Massachusetts.post.PCV7,34,2969,820000,3,12,0
Massachusetts.post.PCV7,35B,2969,820000,3,65,0
Massachusetts.post.PCV7,35F,2969,820000,3,26,1
Massachusetts.post.PCV7,36,2969,820000,3,1,0
Massachusetts.post.PCV7,37,2969,820000,3,3,0
Massachusetts.post.PCV7,38,2969,820000,3,5,2
Massachusetts.post.PCV7,4,2969,820000,3,0,3
Massachusetts.post.PCV7,6A,2969,820000,3,27,12
Massachusetts.post.PCV7,6B,2969,820000,3,8,2
Massachusetts.post.PCV7,6C,2969,820000,3,65,1
Massachusetts.post.PCV7,7C,2969,820000,3,5,1
Massachusetts.post.PCV7,7F,2969,820000,3,21,28
Massachusetts.post.PCV7,9A,2969,820000,3,1,0
Massachusetts.post.PCV7,9N,2969,820000,3,4,0
Massachusetts.post.PCV7,9V,2969,820000,3,2,0
Navajo.post.PCV7,1,6541,65048,6,8,22
Navajo.post.PCV7,10A,6541,65048,6,85,0
Navajo.post.PCV7,10C,6541,65048,6,1,0
Navajo.post.PCV7,10F,6541,65048,6,25,0
Navajo.post.PCV7,11A,6541,65048,6,92,0
Navajo.post.PCV7,12F,6541,65048,6,25,15
Navajo.post.PCV7,14,6541,65048,6,4,0
Navajo.post.PCV7,15A,6541,65048,6,132,4
Navajo.post.PCV7,15B/C,6541,65048,6,124,2
Navajo.post.PCV7,16F,6541,65048,6,83,1
Navajo.post.PCV7,17F,6541,65048,6,96,1
Navajo.post.PCV7,18C,6541,65048,6,1,0
Navajo.post.PCV7,19A,6541,65048,6,208,29
Navajo.post.PCV7,19F,6541,65048,6,35,1
Navajo.post.PCV7,20,6541,65048,6,1,0
Navajo.post.PCV7,21,6541,65048,6,88,2
Navajo.post.PCV7,22A,6541,65048,6,1,0
Navajo.post.PCV7,22F,6541,65048,6,134,4
Navajo.post.PCV7,23A,6541,65048,6,89,1
Navajo.post.PCV7,23B,6541,65048,6,137,3
Navajo.post.PCV7,27,6541,65048,6,1,0
Navajo.post.PCV7,3,6541,65048,6,73,10
Navajo.post.PCV7,31,6541,65048,6,50,1
Navajo.post.PCV7,33A,6541,65048,6,1,0
Navajo.post.PCV7,33F,6541,65048,6,60,2
Navajo.post.PCV7,34,6541,65048,6,89,1
Navajo.post.PCV7,35A,6541,65048,6,55,0
Navajo.post.PCV7,35B,6541,65048,6,137,2
Navajo.post.PCV7,35F,6541,65048,6,58,0
Navajo.post.PCV7,37,6541,65048,6,10,0
Navajo.post.PCV7,38,6541,65048,6,32,1
Navajo.post.PCV7,4,6541,65048,6,5,0
Navajo.post.PCV7,5,6541,65048,6,2,0
Navajo.post.PCV7,6B,6541,65048,6,4,0
Navajo.post.PCV7,7C,6541,65048,6,60,1
Navajo.post.PCV7,7F,6541,65048,6,13,24
Navajo.post.PCV7,8,6541,65048,6,11,1
Navajo.post.PCV7,9N,6541,65048,6,9,0
Navajo.post.PCV7,9V,6541,65048,6,7,0
Netherlands.post.PCV10,1,659,222671,4,3,3
Netherlands.post.PCV10,10A,659,222671,4,13,4
Netherlands.post.PCV10,10B,659,222671,4,2,1
Netherlands.post.PCV10,11A,659,222671,4,31,0
Netherlands.post.PCV10,14,659,222671,4,0,1
Netherlands.post.PCV10,15A,659,222671,4,8,0
Netherlands.post.PCV10,15B/C,659,222671,4,28,2
Netherlands.post.PCV10,15F,659,222671,4,1,0
Netherlands.post.PCV10,16F,659,222671,4,10,1
Netherlands.post.PCV10,17F,659,222671,4,6,1
Netherlands.post.PCV10,18C,659,222671,4,0,1
Netherlands.post.PCV10,19A,659,222671,4,41,5
Netherlands.post.PCV10,19F,659,222671,4,5,1
Netherlands.post.PCV10,21,659,222671,4,14,0
Netherlands.post.PCV10,22F,659,222671,4,5,2
Netherlands.post.PCV10,23A,659,222671,4,18,1
Netherlands.post.PCV10,23B,659,222671,4,45,3
Netherlands.post.PCV10,23F,659,222671,4,0,1
Netherlands.post.PCV10,24F,659,222671,4,5,2
Netherlands.post.PCV10,27,659,222671,4,0,2
Netherlands.post.PCV10,3,659,222671,4,2,5
Netherlands.post.PCV10,31,659,222671,4,2,0
Netherlands.post.PCV10,33A,659,222671,4,1,0
Netherlands.post.PCV10,33F,659,222671,4,7,2
Netherlands.post.PCV10,34,659,222671,4,0,1
Netherlands.post.PCV10,35B,659,222671,4,12,0
Netherlands.post.PCV10,35F,659,222671,4,12,0
Netherlands.post.PCV10,37,659,222671,4,1,0
Netherlands.post.PCV10,38,659,222671,4,4,0
Netherlands.post.PCV10,4,659,222671,4,0,1
Netherlands.post.PCV10,6A,659,222671,4,2,0
Netherlands.post.PCV10,6C,659,222671,4,44,2
Netherlands.post.PCV10,7F,659,222671,4,3,2
Netherlands.post.PCV10,8,659,222671,4,0,2
Netherlands.post.PCV10,9N,659,222671,4,3,0
Netherlands.post.PCV10,9V,659,222671,4,0,1
Netherlands.post.PCV7,1,660,232251,4,2,9
Netherlands.post.PCV7,10A,660,232251,4,20,8
Netherlands.post.PCV7,11A,660,232251,4,36,0
Netherlands.post.PCV7,12F,660,232251,4,1,0
Netherlands.post.PCV7,14,660,232251,4,2,0
Netherlands.post.PCV7,15A,660,232251,4,2,2
Netherlands.post.PCV7,15B/C,660,232251,4,29,2
Netherlands.post.PCV7,16F,660,232251,4,12,3
Netherlands.post.PCV7,17F,660,232251,4,9,2
Netherlands.post.PCV7,18C,660,232251,4,2,2
Netherlands.post.PCV7,19A,660,232251,4,68,10
Netherlands.post.PCV7,19F,660,232251,4,8,1
